,player_win,player_loss,push,win_push,total_hands,win_pct,win_push_pct,doubles_won,doubles_lost,doubles_won_pct,player_bj,dealer_bj,dealer_ten,dealer_bust,dealer_draw,dealer_21_draw,dealer_ten_pct,dealer_bust_pct,dealer_draw_pct,dealer_21_draw_pct,dealer_avg_hand,num_of_shuffles,shuffle_method
0,21,21,4,25,46,0.457,0.543,6,3,0.667,2,0,14,10,15,4,0.304,0.217,0.326,0.087,17.684,64,1
0,25,16,4,29,45,0.556,0.644,4,0,1,0,1,13,13,13,3,0.289,0.289,0.289,0.067,17.689,65,1
0,21,24,3,24,48,0.438,0.5,4,3,0.571,3,0,12,11,13,4,0.25,0.229,0.271,0.083,17.693,66,1
0,23,15,4,27,42,0.548,0.643,3,2,0.6,1,2,15,14,7,0,0.357,0.333,0.167,0,17.698,67,1
0,20,19,9,29,48,0.417,0.604,1,2,0.333,4,2,11,12,12,4,0.229,0.25,0.25,0.083,17.703,68,1
0,19,23,5,24,47,0.404,0.511,2,3,0.4,5,1,18,7,14,6,0.383,0.149,0.298,0.128,17.685,69,1
0,17,23,4,21,44,0.386,0.477,1,2,0.333,3,1,19,10,11,2,0.432,0.227,0.25,0.045,17.685,70,1
0,18,23,4,22,45,0.4,0.489,1,2,0.333,2,2,15,11,12,2,0.333,0.244,0.267,0.044,17.68,71,1
0,17,27,2,19,46,0.37,0.413,3,2,0.6,2,1,12,8,16,7,0.261,0.174,0.348,0.152,17.677,72,1
0,20,19,5,25,44,0.455,0.568,2,3,0.4,2,3,6,13,15,1,0.136,0.295,0.341,0.023,17.681,73,1
0,17,23,5,22,45,0.378,0.489,4,1,0.8,0,4,16,8,12,3,0.356,0.178,0.267,0.067,17.687,74,1
0,22,24,3,25,49,0.449,0.51,7,1,0.875,5,3,11,9,15,2,0.224,0.184,0.306,0.041,17.674,75,1
0,13,24,8,21,45,0.289,0.467,3,2,0.6,2,4,16,7,17,5,0.356,0.156,0.378,0.111,17.678,76,1
0,19,22,4,23,45,0.422,0.511,4,3,0.571,2,2,9,12,18,6,0.2,0.267,0.4,0.133,17.674,77,1
0,22,16,7,29,45,0.489,0.644,3,2,0.6,2,2,14,14,9,2,0.311,0.311,0.2,0.044,17.682,78,1
0,19,21,5,24,45,0.422,0.533,0,2,0,1,2,8,11,19,3,0.178,0.244,0.422,0.067,17.694,79,1
0,21,23,2,23,46,0.457,0.5,3,4,0.429,1,2,18,14,13,3,0.391,0.304,0.283,0.065,17.7,80,1
0,17,24,6,23,47,0.362,0.489,4,2,0.667,1,4,18,11,10,2,0.383,0.234,0.213,0.043,17.699,81,1
0,26,19,4,30,49,0.531,0.612,4,1,0.8,3,2,15,13,14,1,0.306,0.265,0.286,0.02,17.701,82,1
0,18,21,6,24,45,0.4,0.533,4,1,0.8,3,1,11,8,16,2,0.244,0.178,0.356,0.044,17.705,83,1
0,18,20,5,23,43,0.419,0.535,3,4,0.429,1,1,15,14,11,1,0.349,0.326,0.256,0.023,17.713,84,1
0,22,18,4,26,44,0.5,0.591,4,2,0.667,1,2,7,14,14,4,0.159,0.318,0.318,0.091,17.715,85,1
0,19,22,4,23,45,0.422,0.511,3,5,0.375,5,4,12,11,15,2,0.267,0.244,0.333,0.044,17.709,86,1
0,15,23,6,21,44,0.341,0.477,2,2,0.5,1,2,16,7,12,1,0.364,0.159,0.273,0.023,17.707,87,1
0,22,20,2,24,44,0.5,0.545,1,3,0.25,0,2,10,13,14,3,0.227,0.295,0.318,0.068,17.702,88,1
0,22,21,2,24,45,0.489,0.533,2,0,1,1,1,11,11,13,1,0.244,0.244,0.289,0.022,17.702,89,1
0,17,24,3,20,44,0.386,0.455,4,2,0.667,2,2,16,8,13,3,0.364,0.182,0.295,0.068,17.7,90,1
0,23,20,3,26,46,0.5,0.565,4,4,0.5,4,0,12,9,14,0,0.261,0.196,0.304,0,17.695,91,1
0,17,22,4,21,43,0.395,0.488,1,1,0.5,2,2,11,12,14,4,0.256,0.279,0.326,0.093,17.693,92,1
