shoe_index,player_win,player_loss,player_count,push,total_hands,win_pct,win_push,win_push_pct,doubles_won,doubles_lost,doubles_won_pct,player_bj,dealer_bj,dealer_high_card,dealer_low_card,dealer_bust,dealer_draw,dealer_stand,dealer_bust_pct,dealer_draw_pct,dealer_stand_pct,dealer_avg_hand,num_of_shuffles,shuffle_method,shoe_outcome
452,27,15,12,3,45,0.6,30,0.667,7,1,0.875,4,2,26,19,13,13,19,0.289,0.289,0.42200000000000004,17.553,69,python,win
456,24,20,4,3,47,0.511,27,0.574,3,3,0.5,1,3,29,18,12,15,20,0.255,0.319,0.426,17.534000000000002,73,python,win
469,22,21,1,3,46,0.478,25,0.5429999999999999,5,0,1.0,2,1,24,22,9,14,23,0.196,0.304,0.5,17.528,86,python,win
493,27,17,10,3,47,0.574,30,0.638,0,2,0.0,3,1,29,18,12,15,20,0.255,0.319,0.426,17.877,14,python,win
506,26,18,8,1,45,0.578,27,0.6,3,2,0.6,2,2,29,16,17,10,18,0.37799999999999995,0.222,0.4,17.78,27,python,win
508,26,16,10,3,45,0.578,29,0.644,3,0,1.0,4,1,27,18,15,12,18,0.33299999999999996,0.267,0.4,17.756,29,python,win
510,23,20,3,2,45,0.511,25,0.556,5,4,0.556,5,1,26,19,8,18,19,0.17800000000000002,0.4,0.42200000000000004,17.756,31,python,win
511,25,19,6,2,46,0.5429999999999999,27,0.5870000000000001,2,2,0.5,3,2,28,18,11,12,23,0.239,0.261,0.5,17.762,32,python,win
523,24,22,2,2,48,0.5,26,0.542,5,2,0.7140000000000001,4,4,30,18,7,17,24,0.146,0.354,0.5,17.737000000000002,44,python,win
526,23,20,3,2,45,0.511,25,0.556,4,0,1.0,3,2,27,18,11,15,19,0.244,0.33299999999999996,0.42200000000000004,17.742,47,python,win
539,22,20,2,2,44,0.5,24,0.545,2,3,0.4,4,1,30,14,8,13,23,0.182,0.295,0.523,17.680999999999997,60,python,win
542,24,18,6,3,45,0.5329999999999999,27,0.6,2,3,0.4,2,2,22,23,8,21,16,0.17800000000000002,0.467,0.35600000000000004,17.67,63,python,win
547,25,18,7,3,46,0.5429999999999999,28,0.609,2,1,0.667,6,1,27,19,10,12,24,0.217,0.261,0.522,17.665,68,python,win
555,22,21,1,1,44,0.5,23,0.523,5,2,0.7140000000000001,1,1,23,21,18,13,13,0.409,0.295,0.295,17.659000000000002,76,python,win
557,26,20,6,2,48,0.542,28,0.583,4,3,0.5710000000000001,1,2,28,20,13,23,12,0.271,0.479,0.25,17.676,78,python,win
588,25,15,10,3,43,0.581,28,0.6509999999999999,3,0,1.0,3,1,27,16,13,12,18,0.302,0.27899999999999997,0.419,17.682000000000002,13,python,win
606,25,20,5,2,47,0.532,27,0.574,5,1,0.833,4,7,30,17,15,9,23,0.319,0.191,0.489,17.764,31,python,win
622,22,21,1,3,46,0.478,25,0.5429999999999999,4,1,0.8,4,0,25,21,9,14,23,0.196,0.304,0.5,17.78,47,python,win
623,24,20,4,1,45,0.5329999999999999,25,0.556,2,4,0.33299999999999996,5,2,27,18,11,15,19,0.244,0.33299999999999996,0.42200000000000004,17.766,48,python,win
641,27,16,11,2,45,0.6,29,0.644,2,1,0.667,3,2,34,11,9,12,24,0.2,0.267,0.5329999999999999,17.76,66,python,win
642,24,23,1,1,48,0.5,25,0.521,0,2,0.0,3,1,27,21,16,12,20,0.33299999999999996,0.25,0.41700000000000004,17.742,67,python,win
644,27,17,10,2,46,0.5870000000000001,29,0.63,2,5,0.28600000000000003,2,3,27,19,15,12,19,0.326,0.261,0.413,17.743,69,python,win
645,24,22,2,1,47,0.511,25,0.532,5,2,0.7140000000000001,2,2,26,21,14,14,19,0.298,0.298,0.40399999999999997,17.738,70,python,win
647,23,17,6,3,43,0.535,26,0.605,3,2,0.6,2,1,21,22,17,15,11,0.395,0.349,0.256,17.742,72,python,win
648,25,21,4,0,46,0.5429999999999999,25,0.5429999999999999,2,1,0.667,3,2,31,15,14,9,23,0.304,0.196,0.5,17.743,73,python,win
660,21,20,1,3,44,0.47700000000000004,24,0.545,1,3,0.25,2,1,25,19,11,13,20,0.25,0.295,0.455,17.717,85,python,win
666,23,20,3,2,45,0.511,25,0.556,1,0,1.0,2,2,31,14,10,15,20,0.222,0.33299999999999996,0.444,17.708,91,python,win
671,24,18,6,1,43,0.5579999999999999,25,0.581,4,1,0.8,1,3,28,15,13,8,22,0.302,0.18600000000000003,0.512,17.7,96,python,win
683,24,19,5,1,44,0.545,25,0.568,4,2,0.667,1,2,21,23,12,19,13,0.273,0.43200000000000005,0.295,17.957,12,python,win
715,24,19,5,2,45,0.5329999999999999,26,0.578,5,3,0.625,2,3,28,17,13,10,22,0.289,0.222,0.489,17.607,44,python,win
734,23,21,2,2,46,0.5,25,0.5429999999999999,5,0,1.0,1,3,23,23,15,12,19,0.326,0.261,0.413,17.668,63,python,win
736,24,20,4,1,45,0.5329999999999999,25,0.556,3,0,1.0,1,3,25,20,15,12,18,0.33299999999999996,0.267,0.4,17.648,65,python,win
747,22,20,2,3,45,0.489,25,0.556,1,1,0.5,2,2,21,24,11,13,21,0.244,0.289,0.467,17.662,76,python,win
748,24,17,7,3,44,0.545,27,0.614,3,2,0.6,1,1,25,19,14,14,16,0.318,0.318,0.364,17.669,77,python,win
753,23,22,1,1,46,0.5,24,0.522,3,2,0.6,2,0,25,21,18,9,19,0.391,0.196,0.413,17.656,82,python,win
759,23,22,1,2,47,0.489,25,0.532,4,1,0.8,3,5,28,19,14,11,22,0.298,0.23399999999999999,0.46799999999999997,17.648,88,python,win
764,23,18,5,3,44,0.523,26,0.591,4,2,0.667,2,2,28,16,11,15,18,0.25,0.341,0.409,17.637999999999998,93,python,win
765,22,20,2,2,44,0.5,24,0.545,1,4,0.2,0,2,33,11,9,14,21,0.205,0.318,0.47700000000000004,17.643,94,python,win
776,23,21,2,3,47,0.489,26,0.5529999999999999,4,3,0.5710000000000001,5,3,27,20,12,14,21,0.255,0.298,0.447,17.891,9,python,win
780,24,20,4,0,44,0.545,24,0.545,3,3,0.5,1,2,28,16,10,15,19,0.22699999999999998,0.341,0.43200000000000005,17.882,13,python,win
783,25,22,3,0,47,0.532,25,0.532,2,0,1.0,2,2,30,17,12,17,18,0.255,0.36200000000000004,0.38299999999999995,17.881,16,python,win
790,29,16,13,3,48,0.604,32,0.667,3,0,1.0,1,4,30,18,19,12,17,0.396,0.25,0.354,17.76,23,python,win
799,25,17,8,3,45,0.556,28,0.622,4,3,0.5710000000000001,4,0,31,14,10,12,23,0.222,0.267,0.511,17.725,32,python,win
802,21,20,1,2,43,0.488,23,0.535,7,0,1.0,1,2,25,18,15,12,16,0.349,0.27899999999999997,0.37200000000000005,17.738,35,python,win
809,26,18,8,2,46,0.565,28,0.609,3,4,0.429,2,2,28,18,7,18,21,0.152,0.391,0.457,17.717,42,python,win
842,22,19,3,2,43,0.512,24,0.5579999999999999,3,2,0.6,2,1,23,20,14,13,16,0.326,0.302,0.37200000000000005,17.67,75,python,win
848,28,15,13,3,46,0.609,31,0.674,2,1,0.667,2,2,25,21,18,10,18,0.391,0.217,0.391,17.657,81,python,win
850,24,20,4,2,46,0.522,26,0.565,2,1,0.667,5,1,29,17,13,12,21,0.28300000000000003,0.261,0.457,17.66,83,python,win
857,23,18,5,3,44,0.523,26,0.591,6,2,0.75,2,3,28,16,12,10,22,0.273,0.22699999999999998,0.5,17.675,90,python,win
868,25,17,8,3,45,0.556,28,0.622,4,2,0.667,2,1,22,23,14,12,19,0.311,0.267,0.42200000000000004,17.312,5,python,win
874,26,14,12,3,43,0.605,29,0.674,1,3,0.25,2,1,25,18,14,14,15,0.326,0.326,0.349,17.666,11,python,win
882,23,20,3,2,45,0.511,25,0.556,5,3,0.625,1,0,23,22,12,17,16,0.267,0.37799999999999995,0.35600000000000004,17.782,19,python,win
891,21,20,1,2,43,0.488,23,0.535,4,2,0.667,1,1,27,16,11,17,15,0.256,0.395,0.349,17.724,28,python,win
901,24,18,6,3,45,0.5329999999999999,27,0.6,2,3,0.4,1,2,30,15,14,7,24,0.311,0.156,0.5329999999999999,17.703,38,python,win
910,29,16,13,3,48,0.604,32,0.667,2,1,0.667,5,2,29,19,15,8,25,0.312,0.16699999999999998,0.521,17.672,47,python,win
918,24,21,3,2,47,0.511,26,0.5529999999999999,2,3,0.4,3,2,23,24,11,15,21,0.23399999999999999,0.319,0.447,17.68,55,python,win
928,21,20,1,2,43,0.488,23,0.535,1,2,0.33299999999999996,0,2,29,14,11,16,16,0.256,0.37200000000000005,0.37200000000000005,17.692999999999998,65,python,win
933,22,18,4,1,41,0.537,23,0.561,4,3,0.5710000000000001,1,0,31,10,17,9,15,0.415,0.22,0.366,17.698,70,python,win
934,25,20,5,1,46,0.5429999999999999,26,0.565,2,2,0.5,4,0,28,18,12,16,18,0.261,0.348,0.391,17.699,71,python,win
