,player_win,player_loss,push,total_hands,win_pct,win_push,win_push_pct,doubles_won,doubles_lost,doubles_won_pct,player_bj,dealer_bj,dealer_high_card,dealer_low_card,dealer_bust,dealer_draw,dealer_stand,dealer_bust_pct,dealer_draw_pct,dealer_stand_pct,dealer_avg_hand,num_of_shuffles,shuffle_method
0,18,25,5,48,0.375,23,0.479,1,2,0.333,4,0,34,14,8,16,24,0.167,0.333,0.5,18.084,51,riffle_clumpy
0,15,29,6,50,0.3,21,0.42,1,0,1.0,2,3,34,16,8,21,21,0.16,0.42,0.42,18.088,52,riffle_clumpy
0,25,18,4,47,0.532,29,0.617,4,3,0.571,2,3,32,15,14,13,20,0.298,0.277,0.426,18.082,53,riffle_clumpy
0,19,24,3,46,0.413,22,0.478,8,3,0.727,1,4,21,25,12,17,17,0.261,0.37,0.37,18.075,54,riffle_clumpy
0,23,19,4,46,0.5,27,0.587,4,0,1.0,2,1,29,17,12,15,19,0.261,0.326,0.413,18.065,55,riffle_clumpy
0,18,22,8,48,0.375,26,0.542,1,3,0.25,7,2,28,20,8,19,21,0.167,0.396,0.438,18.058,56,riffle_clumpy
0,16,28,2,46,0.348,18,0.391,3,3,0.5,2,3,33,13,8,16,22,0.174,0.348,0.478,18.064,57,riffle_clumpy
0,19,26,2,47,0.404,21,0.447,4,1,0.8,0,1,29,18,5,21,21,0.106,0.447,0.447,18.072,58,riffle_clumpy
0,21,22,4,47,0.447,25,0.532,0,2,0.0,1,2,25,22,14,16,17,0.298,0.34,0.362,18.072,59,riffle_clumpy
0,21,24,5,50,0.42,26,0.52,3,2,0.6,3,2,31,19,9,19,22,0.18,0.38,0.44,18.075,60,riffle_clumpy
0,24,25,1,50,0.48,25,0.5,4,2,0.667,3,2,32,18,13,17,20,0.26,0.34,0.4,18.076,61,riffle_clumpy
0,19,26,3,48,0.396,22,0.458,4,1,0.8,2,3,32,16,11,14,23,0.229,0.292,0.479,18.07,62,riffle_clumpy
0,20,25,5,50,0.4,25,0.5,3,2,0.6,3,1,29,21,8,23,19,0.16,0.46,0.38,18.061,63,riffle_clumpy
0,18,24,3,45,0.4,21,0.467,4,3,0.571,1,2,28,17,10,20,15,0.222,0.444,0.333,18.063,64,riffle_clumpy
0,24,19,4,47,0.511,28,0.596,3,2,0.6,3,5,32,15,15,13,19,0.319,0.277,0.404,18.049,65,riffle_clumpy
0,19,23,6,48,0.396,25,0.521,2,2,0.5,0,3,28,20,13,18,17,0.271,0.375,0.354,18.053,66,riffle_clumpy
0,21,22,4,47,0.447,25,0.532,4,1,0.8,2,2,29,18,13,16,18,0.277,0.34,0.383,18.055,67,riffle_clumpy
0,20,27,1,48,0.417,21,0.438,3,3,0.5,2,3,26,22,12,22,14,0.25,0.458,0.292,18.055,68,riffle_clumpy
0,18,19,8,45,0.4,26,0.578,2,2,0.5,1,2,30,15,10,18,17,0.222,0.4,0.378,18.062,69,riffle_clumpy
0,13,27,6,46,0.283,19,0.413,2,1,0.667,2,3,26,20,8,16,22,0.174,0.348,0.478,18.056,70,riffle_clumpy
0,14,27,6,47,0.298,20,0.426,4,1,0.8,1,3,33,14,9,15,23,0.191,0.319,0.489,18.058,71,riffle_clumpy
0,15,26,5,46,0.326,20,0.435,0,2,0.0,3,2,29,17,9,15,22,0.196,0.326,0.478,18.056,72,riffle_clumpy
0,19,25,2,46,0.413,21,0.457,6,1,0.857,3,2,27,19,12,19,15,0.261,0.413,0.326,18.061,73,riffle_clumpy
0,21,24,4,49,0.429,25,0.51,2,3,0.4,2,1,26,23,16,16,17,0.327,0.327,0.347,18.053,74,riffle_clumpy
0,22,24,1,47,0.468,23,0.489,3,0,1.0,1,0,28,19,11,22,14,0.234,0.468,0.298,18.06,75,riffle_clumpy
0,24,25,1,50,0.48,25,0.5,0,2,0.0,2,1,29,21,14,16,20,0.28,0.32,0.4,18.058,76,riffle_clumpy
0,22,21,2,45,0.489,24,0.533,1,0,1.0,1,4,30,15,13,19,13,0.289,0.422,0.289,18.058,77,riffle_clumpy
0,20,26,1,47,0.426,21,0.447,2,1,0.667,1,5,29,18,12,17,18,0.255,0.362,0.383,18.056,78,riffle_clumpy
0,25,19,5,49,0.51,30,0.612,4,4,0.5,3,0,26,23,13,18,18,0.265,0.367,0.367,18.052,79,riffle_clumpy
